発生日,発生時刻,ショット数,射出充填時間[s],指定位置通過時間[s],射出開始位置[mm],V-P切換位置[mm],射出最前進位置[mm],射出終了位置[mm],V-P切換圧[MPa],射出最前進圧[MPa],射出ピーク圧[MPa],指定位置通過圧[MPa],区間平均射出圧[MPa],射出開始圧[MPa],射出ストローク[mm],,所定圧通過位置[mm],,,,,,,,,,,,可塑化時間[s],計量開始位置[mm],計量回転数,計量平均トルク[%],計量減速開始位置[mm],回転停止位置[mm],プレパック距離[mm],プレパック角度[°],,,サイクル時間[s],,ノズル[C],前部[C],中部[C],後部１[C],後部２[C],落下口[C],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ロットナンバー,ケース出来高,良否コード
"2022/12/14","09:32:10",3683572,0.59,0.00,37.00,5.00,1.40,1.40,51.8,41.6,54.7,0.0,0.0,3.0,35.60,,27.25,,,,,,,,,,,,2.39,4.96,5.03,12.046,35.02,36.76,0.00,0.00,,,8.76,,229.9,230.1,229.7,218.7,214.3,39.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
"2022/12/14","09:32:19",3683573,0.59,0.00,37.00,5.00,1.41,1.41,51.7,41.5,54.5,0.0,0.0,3.0,35.59,,27.34,,,,,,,,,,,,2.38,4.96,5.03,12.093,35.02,36.79,0.00,0.00,,,8.76,,230.1,230.0,229.7,218.9,214.4,39.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
"2022/12/14","09:32:27",3683574,0.59,0.00,37.00,5.00,1.37,1.37,51.6,41.5,54.6,0.0,0.0,3.1,35.63,,27.22,,,,,,,,,,,,2.40,4.96,5.07,12.103,35.02,36.77,0.00,0.00,,,8.76,,230.0,230.0,229.8,219.0,214.6,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
"2022/12/14","09:32:36",3683575,0.59,0.00,37.00,5.00,1.38,1.38,51.8,41.6,54.7,0.0,0.0,3.1,35.62,,27.07,,,,,,,,,,,,2.40,4.92,5.06,12.093,35.01,36.76,0.00,0.00,,,8.75,,229.9,229.9,229.8,219.2,214.8,39.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
"2022/12/14","09:32:45",3683576,0.59,0.00,37.00,5.00,1.45,1.45,51.8,41.6,54.7,0.0,0.0,3.1,35.55,,27.64,,,,,,,,,,,,2.42,4.93,5.11,12.160,35.02,36.76,0.00,0.00,,,8.76,,229.8,229.9,229.8,219.3,214.9,39.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
"2022/12/14","09:32:54",3683577,0.59,0.00,37.00,5.00,1.40,1.40,51.7,41.5,54.7,0.0,0.0,3.1,35.60,,27.04,,,,,,,,,,,,2.41,5.00,5.09,12.167,35.02,36.75,0.00,0.00,,,8.76,,230.0,229.9,229.8,219.4,215.1,39.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
"2022/12/14","09:33:02",3683578,0.59,0.00,37.00,5.00,1.45,1.45,51.8,41.6,54.7,0.0,0.0,3.2,35.56,,27.56,,,,,,,,,,,,2.42,4.95,5.11,12.183,35.03,36.77,0.00,0.00,,,8.76,,229.7,229.9,229.9,219.6,215.1,38.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
"2022/12/14","09:33:11",3683579,0.59,0.00,37.00,5.00,1.40,1.40,51.7,41.6,54.7,0.0,0.0,3.0,35.60,,27.12,,,,,,,,,,,,2.41,5.00,5.09,12.192,35.02,36.72,0.00,0.00,,,8.75,,230.0,229.9,229.9,219.6,215.2,38.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
"2022/12/14","09:33:20",3683580,0.59,0.00,37.00,5.00,1.44,1.44,51.7,41.6,54.6,0.0,0.0,3.1,35.56,,27.73,,,,,,,,,,,,2.42,4.96,5.13,12.177,35.02,36.76,0.00,0.00,,,8.75,,230.0,229.9,230.1,219.7,215.3,38.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
"2022/12/14","09:33:29",3683581,0.59,0.00,37.00,5.00,1.40,1.40,51.8,41.6,54.7,0.0,0.0,3.0,35.60,,27.27,,,,,,,,,,,,2.41,5.00,5.08,12.173,35.01,36.73,0.00,0.00,,,8.75,,230.1,229.9,230.1,219.7,215.3,38.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
